0123biazxnye
0,1,3,R,0
0,0,2,R,0
0,2,2,R,0
0,3,3,R,0
0,e,y,L,1
1,3,b,L,78
1,2,b,L,2
2,2,b,L,2
2,3,z,L,3
3,3,z,L,3
3,2,2,R,4
3,e,e,R,4
4,b,b,R,4
4,z,z,R,4
4,y,y,L,5
5,b,i,L,6
6,a,a,L,6
6,b,b,L,6
6,z,a,R,7
7,a,a,R,7
7,b,b,R,7
7,i,i,R,7
7,y,y,R,7
7,0,0,R,7
7,1,1,R,7
7,e,0,L,8
8,0,0,L,8
8,1,1,L,8
8,y,y,L,9
9,a,a,L,9
9,b,b,L,9
9,i,i,L,9
9,z,a,R,7
9,2,2,R,10
9,e,e,R,10
10,a,z,R,10
10,b,b,R,10
10,i,i,R,10
10,y,y,L,11
11,z,z,L,11
11,i,i,L,11
11,b,i,L,12
11,2,2,R,18
11,e,e,R,154
12,z,a,R,13
12,a,a,L,12
12,b,b,L,12
13,e,1,L,14
14,0,0,L,14
14,1,1,L,14
14,y,y,L,15
15,i,i,L,15
15,b,b,L,15
15,a,a,L,15
15,z,a,R,13
15,2,2,R,16
15,e,e,R,16
16,a,z,R,16
16,b,b,R,16
16,i,i,R,16
16,y,y,L,17
17,z,z,L,17
17,i,i,L,17
17,b,i,L,6
17,2,2,R,18
17,e,e,R,154
13,a,a,R,13
13,b,b,R,13
13,i,i,R,13
13,y,y,R,13
13,0,0,R,13
13,1,1,R,13
18,i,i,R,18
18,z,z,R,18
18,y,y,R,214
19,e,x,L,20
19,1,1,R,19
19,0,0,R,19
20,1,b,L,41
20,0,b,L,21
41,1,b,L,41
41,0,z,L,42
42,0,z,L,42
42,y,y,R,43
42,1,1,R,43
43,b,b,R,43
43,a,a,R,43
43,z,z,R,43
43,x,x,L,44
44,b,i,L,45
45,b,b,L,45
45,z,a,R,46
46,a,a,R,46
46,b,b,R,46
46,i,i,R,46
46,x,x,R,46
46,0,0,R,46
46,e,0,L,47
47,0,0,L,47
47,x,x,L,48
48,i,i,L,48
48,b,b,L,48
48,a,a,L,48
48,z,a,R,46
48,y,y,R,49
48,1,1,R,49
49,a,z,R,49
49,b,b,R,49
49,i,i,R,49
49,x,x,L,50
50,z,z,L,50
50,i,i,L,50
50,b,i,L,45
50,1,1,R,51
50,y,y,R,61
51,i,i,R,51
51,z,z,R,51
51,0,0,R,51
51,x,x,R,51
51,e,e,L,52
52,0,0,L,52
52,x,n,L,53
53,i,n,L,53
53,z,n,L,53
